labels,feature1,feature2
0,0.000556298,-0.628762296
2,0.494478573,0.474935767
2,-0.244724755,0.242440448
0,-0.493842507,-0.585407024
3,0.757772283,0.594605772
2,-0.256445316,0.249598166
4,-0.639303647,0.623456522
1,0.318321546,0.305889755
2,0.543020789,0.390577407
2,-0.010710191,-0.012842536
3,-0.126517067,-0.224304704
3,-0.41016912,-0.061240679
2,-0.257247645,0.095054383
1,-0.048137961,0.036150481
0,0.251569759,0.080757161
0,-0.939201913,-0.033504455
4,-0.27552399,0.94040174
2,0.826086674,0.000683177
1,0.497636414,0.086022611
2,0.137148238,0.555218191
2,-0.018699308,-0.019136655
3,-0.424077597,-0.023875589
3,-0.488553609,0.201374331
0,-0.264636447,-0.636111513
2,-0.050345901,-0.033006223
3,0.319245699,0.805245644
3,-0.479585464,0.108196525
4,-0.548404598,-0.256324866
4,0.142988022,-0.046959332
4,-0.709023187,-0.00313095
1,-0.064828824,0.080910717
3,0.428654496,0.76808146
4,0.154764429,-0.258168521
4,-0.424163736,-0.347752601
2,-0.154410816,-0.043918375
4,-0.063992762,-0.446947096
1,-0.058212538,0.064596727
0,0.296363666,0.052645902
4,0.011915566,0.006081792
2,0.164947677,0.537115844
1,0.561417431,-0.438506571
2,0.632066776,0.356662718
3,-0.161359956,0.738428388
2,0.462564376,0.473870006
3,-0.49672353,0.159616588
3,0.175659755,0.807194717
4,0.006664614,0.000570218
0,-0.958848754,0.044184032
3,-0.481231679,0.283496165
2,0.033117002,0.477112904
1,-0.081680887,0.069153766
1,-0.577053994,-0.808502012
4,0.155793326,-0.069441153
0,-0.929218015,-0.031913687
4,-0.445688843,-0.353021329
2,-0.000803695,0.501671597
4,0.021557191,0.009131256
2,0.81582643,0.019250181
4,0.185854388,-0.153114581
0,0.086273066,0.097827351
4,-0.673784476,0.489418239
4,0.019785693,0.003347597
4,-0.160971596,-0.450357197
1,0.422613906,0.177028839
4,-0.271617769,0.934573677
2,-0.06357785,0.467266433
3,0.502271919,0.713928751
4,0.164910726,-0.055228607
4,-0.748436238,0.357490851
0,-0.078507551,-0.647431369
2,-0.259997319,0.241002728
0,0.235688461,0.085847009
1,0.495263966,-0.525915355
0,0.218158414,-0.470255163
0,0.066738665,-0.57473341
2,-0.057023958,0.464742068
0,0.244307101,-0.479848798
1,0.570919054,-0.070462463
3,-0.171134549,0.763668342
0,0.321486495,-0.371961207
4,-0.502898947,-0.324790836
3,-0.448034607,-0.010623397
1,-0.013941277,0.230347734
3,0.463467277,0.771100634
0,-0.898970736,-0.194317729
3,-0.081591172,0.744707593
1,0.538267981,0.086351894
1,0.56257011,0.054640377
1,0.141580784,0.314042128
4,-0.347533212,-0.479221231
3,-0.435833343,0.380554647
3,-0.16062007,-0.238599191
3,-0.223070143,-0.221529445
4,-0.603797778,0.621101124
0,-0.195169665,-0.688594641
2,0.72282848,0.26312538
0,0.350247507,-0.310746851
3,0.515329187,0.721069749
0,-0.147662063,-0.693483668
0,0.340843272,-0.069345877
2,0.668102852,0.308252409
4,0.164479315,-0.193789404
2,-0.201528143,0.327590296
1,0.424018758,-0.629752864
3,0.159543194,0.779833746
3,0.649098726,0.642120889
0,0.017949373,0.074799597
0,-0.855125778,-0.300397088
2,0.040713027,0.53021177
0,0.26144331,0.056876727
3,-0.22658306,-0.193030867
2,-0.240328288,0.308806423
3,-0.14756241,-0.215123837
3,0.747209622,0.586395842
2,-0.171474304,-0.029022573
2,0.292486794,0.530001429
1,0.483903596,0.155783259
4,-0.576343566,0.716753694
1,0.471506215,0.15063311
1,0.054692276,0.292591103
1,-0.058138459,0.181553835
1,0.07834178,0.301009053
0,-8.34967E-05,0.013377666
2,0.904997037,-0.144039075
4,-0.733681852,0.207800257
0,-0.072614078,-0.651484122
3,-0.334888457,0.594430711
0,-0.598488683,-0.534882596
0,0.171433113,0.090768399
0,-0.947386383,0.237032469
3,-0.021403816,-0.175960526
1,-0.081071682,0.1147114
0,0.290817644,0.009411712
0,0.330638904,-0.30253228
3,0.616866014,0.668601963
4,0.029218801,-0.360020279
1,-0.064363323,0.175884252
1,0.60569965,-0.321249086
3,0.312812303,0.79340363
1,0.587062495,-0.366943548
2,-0.00845789,-0.01036499
0,-0.676025594,-0.463036141
0,-0.954307709,0.173211311
0,0.353855022,-0.33160664
3,-0.236402955,-0.227023642
2,-0.22999216,0.320704389
0,0.083044041,0.125516695
4,0.097930696,-0.021830719
2,-0.183236232,0.372039798
1,0.600264329,-0.187149859
1,0.140707216,0.318095058
3,-0.357826643,-0.131634322
1,-0.453728085,-0.876101559
1,-0.040990731,0.022630271
1,0.588610163,-0.358061981
